from	to
carboxypeptidase E	CPE
carboxypeptidase-E	CPE
Carboxypeptidase E	CPE
Carboxypeptidase-E	CPE
serine dehydratase	SDS
Serine dehydratase	SDS
estrogen receptor	ESR1
oxytocin receptor	OXTR
cyclooxygenase-2	PTGS2
insulin receptor	INSR
(IL)-1 receptor	IL1R1
IGF-1 receptor	IGF1R
IL-10 receptor	IL10RA
IL-11 receptor	IL11RA
IL-12 receptor	IL12RB1
IL-13 receptor	IL13RA1
IL-15 receptor	IL15RA
IL-18 receptor	IL18R1
lipocortin III	ANXA3
ferritin light	FTL
Ferritin light	FTL
collagen-11A1	COL11A1
IL-1 receptor	IL1R1
IL-2 receptor	IL2RA
IL-4 receptor	IL4R
IL-6 receptor	IL6R
IL-8 receptor	IL8RA
inhibin alpha	INHA
mammaglobin A	SCGB2A2
mammaglobin-A	SCGB2A2
FSH receptor	FSHR
inhibin beta	INHBA
kynureninase	KYNU
lipocortin I	ANXA1
connexin-37	GJA4
flotillin-1	FLOT1
GADD45gamma	GADD45G
P45017alpha	CYP17A1
TGF-beta(2)	TGFB2
annexin A1	ANXA1
annexin A3	ANXA3
cPLA2alpha	PLA2G4A
CYP11alpha	CYP11A
HIF-1alpha	HIF1A
HIF-2alpha	EPAS1
HIF1-alpha	HIF1A
MIP-3alpha	CCL20
PPAR-gamma	PPARG
17betaHSD	HSD17B1
ACC-alpha	ACACA
AP-2alpha	notSureWhatGene
AP-2gamma	notSureWhatGene
aromatase	CYP19A1
C4BPalpha	C4BPA
caspase 6	CASP6
cyclin B1	CCNB1
cyclin B2	CCNB2
cyclin B3	CCNB3
cyclin E1	CCNE1
cyclin E2	CCNE2
EGR-alpha	EGR1
ESR-alpha	ESR1
fibulin-1	FBLN1
fibulin-2	FBLN2
GSK-3beta	GSK3B
HIF1alpha	HIF1A
HNF4alpha	HNF4A
HSD17beta	notSureWhatGene
IFN-alpha	IFNA1
IFN-gamma	IFNG
IL-1alpha	IL1A
INF-gamma	IFNG
MIP-1beta	CCL4
NF-kappaB	NFKB1
PGF2alpha	notSureWhatGene
PPARgamma	PPARG
prolactin	PRL
RAR-2beta	RARB
relaxin 1	RLN1
relaxin 2	RLN2
TGF-alpha	TGFA
TNF-alpha	TNF
(TSG)-101	TSG101
(TSG) 101	TSG101
(HDAC)-10	HDAC10
(HDAC)-11	HDAC11
(HDAC) 10	HDAC10
(HDAC) 11	HDAC11
(HOXA)-10	HOXA10
(HOXA)-11	HOXA11
(HOXA)-13	HOXA13
(HOXA) 10	HOXA10
(HOXA) 11	HOXA11
(HOXA) 13	HOXA13
(PARP)-10	PARP10
(PARP)-11	PARP11
(PARP)-12	PARP12
(PARP)-14	PARP14
(PARP)-15	PARP15
(PARP)-16	PARP16
(PARP) 10	PARP10
(PARP) 11	PARP11
(PARP) 12	PARP12
(PARP) 14	PARP14
(PARP) 15	PARP15
(PARP) 16	PARP16
(ADAM)-10	ADAM10
(ADAM)-11	ADAM11
(ADAM)-12	ADAM12
(ADAM)-15	ADAM15
(ADAM)-17	ADAM17
(ADAM)-18	ADAM18
(ADAM)-19	ADAM19
(ADAM)-20	ADAM20
(ADAM)-21	ADAM21
(ADAM)-22	ADAM22
(ADAM)-23	ADAM23
(ADAM)-28	ADAM28
(ADAM)-29	ADAM29
(ADAM)-30	ADAM30
(ADAM)-32	ADAM32
(ADAM)-33	ADAM33
(ADAM) 10	ADAM10
(ADAM) 11	ADAM11
(ADAM) 12	ADAM12
(ADAM) 15	ADAM15
(ADAM) 17	ADAM17
(ADAM) 18	ADAM18
(ADAM) 19	ADAM19
(ADAM) 20	ADAM20
(ADAM) 21	ADAM21
(ADAM) 22	ADAM22
(ADAM) 23	ADAM23
(ADAM) 28	ADAM28
(ADAM) 29	ADAM29
(ADAM) 30	ADAM30
(ADAM) 32	ADAM32
(ADAM) 33	ADAM33
Prolactin	PRL
cyclin B	CCNB1
ER alpha	ESR1
ER-alpha	ESR1
ESR-beta	ESR2
GRO-beta	CXCL2
HNF1beta	HNF1B
IFNgamma	IFNG
IKK-beta	IKBKB
IKKalpha	CHUK
IL-1beta	IL1B
perforin	PRF1
RAR-beta	RARB
RARalpha	RARA
RXRalpha	RXRA
TFF1/pS2	TFF1
TGF-beta	TGFB1
TGFalpha	TGFA
TGFbeta1	TGFB1
TNF-beta	TNF
TNFalpha	TNF
(MMP)-10	MMP10
(MMP)-11	MMP11
(MMP)-12	MMP12
(MMP)-13	MMP13
(MMP)-14	MMP14
(MMP)-15	MMP15
(MMP)-16	MMP16
(MMP)-17	MMP17
(MMP)-19	MMP19
(MMP)-20	MMP20
(MMP)-21	MMP21
(MMP)-24	MMP24
(MMP)-25	MMP25
(MMP)-26	MMP26
(MMP)-27	MMP27
(MMP)-28	MMP28
(MMP) 10	MMP10
(MMP) 11	MMP11
(MMP) 12	MMP12
(MMP) 13	MMP13
(MMP) 14	MMP14
(MMP) 15	MMP15
(MMP) 16	MMP16
(MMP) 17	MMP17
(MMP) 19	MMP19
(MMP) 20	MMP20
(MMP) 21	MMP21
(MMP) 24	MMP24
(MMP) 25	MMP25
(MMP) 26	MMP26
(MMP) 27	MMP27
(MMP) 28	MMP28
(CDK)-10	CDK10
(CDK)-12	CDK12
(CDK)-13	CDK13
(CDK)-14	CDK14
(CDK)-15	CDK15
(CDK)-16	CDK16
(CDK)-17	CDK17
(CDK)-18	CDK18
(CDK)-19	CDK19
(CDK)-20	CDK20
(CDK) 10	CDK10
(CDK) 12	CDK12
(CDK) 13	CDK13
(CDK) 14	CDK14
(CDK) 15	CDK15
(CDK) 16	CDK16
(CDK) 17	CDK17
(CDK) 18	CDK18
(CDK) 19	CDK19
(CDK) 20	CDK20
(COX)-10	COX10
(COX)-11	COX11
(COX)-14	COX14
(COX)-15	COX15
(COX)-16	COX16
(COX)-17	COX17
(COX)-18	COX18
(COX)-19	COX19
(COX)-20	COX20
(COX) 10	COX10
(COX) 11	COX11
(COX) 14	COX14
(COX) 15	COX15
(COX) 16	COX16
(COX) 17	COX17
(COX) 18	COX18
(COX) 19	COX19
(COX) 20	COX20
(BMP)-10	BMP10
(BMP)-15	BMP15
(BMP) 10	BMP10
(BMP) 15	BMP15
(TCF)-12	TCF12
(TCF)-15	TCF15
(TCF)-19	TCF19
(TCF)-20	TCF20
(TCF)-21	TCF21
(TCF)-23	TCF23
(TCF)-24	TCF24
(TCF)-25	TCF25
(TCF) 12	TCF12
(TCF) 15	TCF15
(TCF) 19	TCF19
(TCF) 20	TCF20
(TCF) 21	TCF21
(TCF) 23	TCF23
(TCF) 24	TCF24
(TCF) 25	TCF25
(BCL)-10	BCL10
(BCL) 10	BCL10
(NAT)-10	NAT10
(NAT)-14	NAT14
(NAT)-16	NAT16
(NAT) 10	NAT10
(NAT) 14	NAT14
(NAT) 16	NAT16
(TLR)-10	TLR10
(TLR) 10	TLR10
(MAP)-10	MAP10
(MAP) 10	MAP10
(HSD)-52	HSD52
(HSD) 52	HSD52
(MRP)-63	MRP63
(MRP) 63	MRP63
(TSG)101	TSG101
(SSTR)-1	SSTR1
(SSTR)-2	SSTR2
(SSTR)-3	SSTR3
(SSTR)-4	SSTR4
(SSTR)-5	SSTR5
(SSTR) 1	SSTR1
(SSTR) 2	SSTR2
(SSTR) 3	SSTR3
(SSTR) 4	SSTR4
(SSTR) 5	SSTR5
(HDAC)-1	HDAC1
(HDAC)-2	HDAC2
(HDAC)-3	HDAC3
(HDAC)-4	HDAC4
(HDAC)-5	HDAC5
(HDAC)-6	HDAC6
(HDAC)-7	HDAC7
(HDAC)-8	HDAC8
(HDAC)-9	HDAC9
(HDAC) 1	HDAC1
(HDAC) 2	HDAC2
(HDAC) 3	HDAC3
(HDAC) 4	HDAC4
(HDAC) 5	HDAC5
(HDAC) 6	HDAC6
(HDAC) 7	HDAC7
(HDAC) 8	HDAC8
(HDAC) 9	HDAC9
(HDAC)10	HDAC10
(HDAC)11	HDAC11
(HOXA)-1	HOXA1
(HOXA)-2	HOXA2
(HOXA)-3	HOXA3
(HOXA)-4	HOXA4
(HOXA)-5	HOXA5
(HOXA)-6	HOXA6
(HOXA)-7	HOXA7
(HOXA)-9	HOXA9
(HOXA) 1	HOXA1
(HOXA) 2	HOXA2
(HOXA) 3	HOXA3
(HOXA) 4	HOXA4
(HOXA) 5	HOXA5
(HOXA) 6	HOXA6
(HOXA) 7	HOXA7
(HOXA) 9	HOXA9
(HOXA)10	HOXA10
(HOXA)11	HOXA11
(HOXA)13	HOXA13
(PARP)-1	PARP1
(PARP)-2	PARP2
(PARP)-3	PARP3
(PARP)-4	PARP4
(PARP)-6	PARP6
(PARP)-8	PARP8
(PARP)-9	PARP9
(PARP) 1	PARP1
(PARP) 2	PARP2
(PARP) 3	PARP3
(PARP) 4	PARP4
(PARP) 6	PARP6
(PARP) 8	PARP8
(PARP) 9	PARP9
(PARP)10	PARP10
(PARP)11	PARP11
(PARP)12	PARP12
(PARP)14	PARP14
(PARP)15	PARP15
(PARP)16	PARP16
(ADAM)-2	ADAM2
(ADAM)-5	ADAM5
(ADAM)-6	ADAM6
(ADAM)-7	ADAM7
(ADAM)-8	ADAM8
(ADAM)-9	ADAM9
(ADAM) 2	ADAM2
(ADAM) 5	ADAM5
(ADAM) 6	ADAM6
(ADAM) 7	ADAM7
(ADAM) 8	ADAM8
(ADAM) 9	ADAM9
(ADAM)10	ADAM10
(ADAM)11	ADAM11
(ADAM)12	ADAM12
(ADAM)15	ADAM15
(ADAM)17	ADAM17
(ADAM)18	ADAM18
(ADAM)19	ADAM19
(ADAM)20	ADAM20
(ADAM)21	ADAM21
(ADAM)22	ADAM22
(ADAM)23	ADAM23
(ADAM)28	ADAM28
(ADAM)29	ADAM29
(ADAM)30	ADAM30
(ADAM)32	ADAM32
(ADAM)33	ADAM33
(GATA)-1	GATA1
(GATA)-2	GATA2
(GATA)-3	GATA3
(GATA)-4	GATA4
(GATA)-5	GATA5
(GATA)-6	GATA6
(GATA) 1	GATA1
(GATA) 2	GATA2
(GATA) 3	GATA3
(GATA) 4	GATA4
(GATA) 5	GATA5
(GATA) 6	GATA6
(ICAM)-1	ICAM1
(ICAM)-2	ICAM2
(ICAM)-3	ICAM3
(ICAM)-4	ICAM4
(ICAM)-5	ICAM5
(ICAM) 1	ICAM1
(ICAM) 2	ICAM2
(ICAM) 3	ICAM3
(ICAM) 4	ICAM4
(ICAM) 5	ICAM5
(FGFR)-1	FGFR1
(FGFR)-2	FGFR2
(FGFR)-3	FGFR3
(FGFR)-4	FGFR4
(FGFR) 1	FGFR1
(FGFR) 2	FGFR2
(FGFR) 3	FGFR3
(FGFR) 4	FGFR4
(SUMO)-1	SUMO1
(SUMO)-2	SUMO2
(SUMO)-3	SUMO3
(SUMO)-4	SUMO4
(SUMO) 1	SUMO1
(SUMO) 2	SUMO2
(SUMO) 3	SUMO3
(SUMO) 4	SUMO4
(TIMP)-1	TIMP1
(TIMP)-2	TIMP2
(TIMP)-3	TIMP3
(TIMP)-4	TIMP4
(TIMP) 1	TIMP1
(TIMP) 2	TIMP2
(TIMP) 3	TIMP3
(TIMP) 4	TIMP4
(RUNX)-1	RUNX1
(RUNX)-2	RUNX2
(RUNX)-3	RUNX3
(RUNX) 1	RUNX1
(RUNX) 2	RUNX2
(RUNX) 3	RUNX3
(BRCA)-1	BRCA1
(BRCA)-2	BRCA2
(BRCA) 1	BRCA1
(BRCA) 2	BRCA2
(DNMT)-1	DNMT1
(DNMT) 1	DNMT1
(VCAM)-1	VCAM1
(VCAM) 1	VCAM1
musculin	MSC
Musculin	MSC
catalase	CAT
Catalase	CAT
(COX)-2	PTGS2
activin	INHBA
decorin	DCN
EBPbeta	CEBPB
ER beta	ESR2
ER-beta	ESR2
ERalpha	ESR1
GRalpha	NR3C1
IGF-IIR	IGF2R
IGFBP-1	IGFBP1
IGFBP-3	IGFBP3
IGFBP-5	IGFBP5
IIalpha	notSureWhatGene
IKKbeta	IKBKB
IL1beta	IL1B
LH-beta	LHB
mucin-9	MUC9
RARbeta	RARB
Relaxin	RLN1
RSVbeta	nongene
SA-beta	SABG
TFGbeta	notSureWhatGene
TGFbeta	TGFB1
TNFbeta	TNF
TPalpha	TBXA2R
(IL)-10	IL10
(IL)-11	IL11
(IL)-12	IL12
(IL)-13	IL13
(IL)-14	IL14
(IL)-15	IL15
(IL)-16	IL16
(IL)-17	IL17
(IL)-18	IL18
(IL)-19	IL19
(IL)-20	IL20
(IL)-21	IL21
(IL)-22	IL22
(IL)-23	IL23
(IL)-24	IL24
(IL)-25	IL25
(IL)-26	IL26
(IL)-27	IL27
(IL)-28	IL28
(IL)-29	IL29
(IL)-30	IL30
(IL)-31	IL31
(IL)-32	IL32
(IL)-33	IL33
(IL)-34	IL34
(IL)-35	IL35
(IL)-36	IL36
(IL)-37	IL37
(IL) 10	IL10
(IL) 11	IL11
(IL) 13	IL13
(IL) 15	IL15
(IL) 16	IL16
(IL) 18	IL18
(IL) 19	IL19
(IL) 20	IL20
(IL) 21	IL21
(IL) 22	IL22
(IL) 24	IL24
(IL) 25	IL25
(IL) 26	IL26
(IL) 27	IL27
(IL) 31	IL31
(IL) 32	IL32
(IL) 33	IL33
(IL) 34	IL34
(IL) 37	IL37
(MMP)-1	MMP1
(MMP)-2	MMP2
(MMP)-3	MMP3
(MMP)-7	MMP7
(MMP)-8	MMP8
(MMP)-9	MMP9
(MMP) 1	MMP1
(MMP) 2	MMP2
(MMP) 3	MMP3
(MMP) 7	MMP7
(MMP) 8	MMP8
(MMP) 9	MMP9
(MMP)10	MMP10
(MMP)11	MMP11
(MMP)12	MMP12
(MMP)13	MMP13
(MMP)14	MMP14
(MMP)15	MMP15
(MMP)16	MMP16
(MMP)17	MMP17
(MMP)19	MMP19
(MMP)20	MMP20
(MMP)21	MMP21
(MMP)24	MMP24
(MMP)25	MMP25
(MMP)26	MMP26
(MMP)27	MMP27
(MMP)28	MMP28
(CDK)-1	CDK1
(CDK)-2	CDK2
(CDK)-3	CDK3
(CDK)-4	CDK4
(CDK)-5	CDK5
(CDK)-6	CDK6
(CDK)-7	CDK7
(CDK)-8	CDK8
(CDK)-9	CDK9
(CDK) 1	CDK1
(CDK) 2	CDK2
(CDK) 3	CDK3
(CDK) 4	CDK4
(CDK) 5	CDK5
(CDK) 6	CDK6
(CDK) 7	CDK7
(CDK) 8	CDK8
(CDK) 9	CDK9
(CDK)10	CDK10
(CDK)12	CDK12
(CDK)13	CDK13
(CDK)14	CDK14
(CDK)15	CDK15
(CDK)16	CDK16
(CDK)17	CDK17
(CDK)18	CDK18
(CDK)19	CDK19
(CDK)20	CDK20
(COX)10	COX10
(COX)11	COX11
(COX)14	COX14
(COX)15	COX15
(COX)16	COX16
(COX)17	COX17
(COX)18	COX18
(COX)19	COX19
(COX)20	COX20
(BMP)-1	BMP1
(BMP)-2	BMP2
(BMP)-3	BMP3
(BMP)-4	BMP4
(BMP)-5	BMP5
(BMP)-6	BMP6
(BMP)-7	BMP7
(BMP) 1	BMP1
(BMP) 2	BMP2
(BMP) 3	BMP3
(BMP) 4	BMP4
(BMP) 5	BMP5
(BMP) 6	BMP6
(BMP) 7	BMP7
(BMP)10	BMP10
(BMP)15	BMP15
(TCF)-3	TCF3
(TCF)-4	TCF4
(TCF)-7	TCF7
(TCF) 3	TCF3
(TCF) 4	TCF4
(TCF) 7	TCF7
(TCF)12	TCF12
(TCF)15	TCF15
(TCF)19	TCF19
(TCF)20	TCF20
(TCF)21	TCF21
(TCF)23	TCF23
(TCF)24	TCF24
(TCF)25	TCF25
(BCL)-2	BCL2
(BCL)-3	BCL3
(BCL)-6	BCL6
(BCL)-9	BCL9
(BCL) 2	BCL2
(BCL) 3	BCL3
(BCL) 6	BCL6
(BCL) 9	BCL9
(BCL)10	BCL10
(NAT)-1	NAT1
(NAT)-2	NAT2
(NAT)-6	NAT6
(NAT)-8	NAT8
(NAT)-9	NAT9
(NAT) 1	NAT1
(NAT) 2	NAT2
(NAT) 6	NAT6
(NAT) 8	NAT8
(NAT) 9	NAT9
(NAT)10	NAT10
(NAT)14	NAT14
(NAT)16	NAT16
(TLR)-1	TLR1
(TLR)-2	TLR2
(TLR)-3	TLR3
(TLR)-4	TLR4
(TLR)-5	TLR5
(TLR)-6	TLR6
(TLR)-7	TLR7
(TLR)-8	TLR8
(TLR)-9	TLR9
(TLR) 1	TLR1
(TLR) 2	TLR2
(TLR) 3	TLR3
(TLR) 4	TLR4
(TLR) 5	TLR5
(TLR) 6	TLR6
(TLR) 7	TLR7
(TLR) 8	TLR8
(TLR) 9	TLR9
(TLR)10	TLR10
(IRF)-1	IRF1
(IRF)-2	IRF2
(IRF)-3	IRF3
(IRF)-4	IRF4
(IRF)-5	IRF5
(IRF)-6	IRF6
(IRF)-7	IRF7
(IRF)-8	IRF8
(IRF)-9	IRF9
(IRF) 1	IRF1
(IRF) 2	IRF2
(IRF) 3	IRF3
(IRF) 4	IRF4
(IRF) 5	IRF5
(IRF) 6	IRF6
(IRF) 7	IRF7
(IRF) 8	IRF8
(IRF) 9	IRF9
(MAP)-2	MAP2
(MAP)-4	MAP4
(MAP)-6	MAP6
(MAP)-7	MAP7
(MAP)-9	MAP9
(MAP) 2	MAP2
(MAP) 4	MAP4
(MAP) 6	MAP6
(MAP) 7	MAP7
(MAP) 9	MAP9
(MAP)10	MAP10
(ATF)-1	ATF1
(ATF)-2	ATF2
(ATF)-3	ATF3
(ATF)-4	ATF4
(ATF)-5	ATF5
(ATF)-6	ATF6
(ATF)-7	ATF7
(ATF) 1	ATF1
(ATF) 2	ATF2
(ATF) 3	ATF3
(ATF) 4	ATF4
(ATF) 5	ATF5
(ATF) 6	ATF6
(ATF) 7	ATF7
(CPT)-2	CPT2
(CPT) 2	CPT2
(EGR)-1	EGR1
(EGR)-2	EGR2
(EGR)-3	EGR3
(EGR)-4	EGR4
(EGR) 1	EGR1
(EGR) 2	EGR2
(EGR) 3	EGR3
(EGR) 4	EGR4
(IGF)-1	IGF1
(IGF)-2	IGF2
(IGF) 1	IGF1
(IGF) 2	IGF2
(NOS)-1	NOS1
(NOS)-2	NOS2
(NOS)-3	NOS3
(NOS) 1	NOS1
(NOS) 2	NOS2
(NOS) 3	NOS3
(PAR)-1	PAR1
(PAR)-4	PAR4
(PAR)-5	PAR5
(PAR) 1	PAR1
(PAR) 4	PAR4
(PAR) 5	PAR5
(PTH)-2	PTH2
(PTH) 2	PTH2
(SOD)-1	SOD1
(SOD)-2	SOD2
(SOD)-3	SOD3
(SOD) 1	SOD1
(SOD) 2	SOD2
(SOD) 3	SOD3
(ADM)-2	ADM2
(ADM)-5	ADM5
(ADM) 2	ADM2
(ADM) 5	ADM5
(SDF)-2	SDF2
(SDF)-4	SDF4
(SDF) 2	SDF2
(SDF) 4	SDF4
(DMP)-1	DMP1
(DMP) 1	DMP1
(HAT)-1	HAT1
(HAT) 1	HAT1
(HSD)52	HSD52
(LAP)-3	LAP3
(LAP) 3	LAP3
(MRP)63	MRP63
TSG 101	TSG101
TSG-101	TSG101
(TSG)-1	TSG1
(TSG) 1	TSG1
(SSTR)1	SSTR1
(SSTR)2	SSTR2
(SSTR)3	SSTR3
(SSTR)4	SSTR4
(SSTR)5	SSTR5
HDAC 10	HDAC10
HDAC 11	HDAC11
HDAC-10	HDAC10
HDAC-11	HDAC11
(HDAC)1	HDAC1
(HDAC)2	HDAC2
(HDAC)3	HDAC3
(HDAC)4	HDAC4
(HDAC)5	HDAC5
(HDAC)6	HDAC6
(HDAC)7	HDAC7
(HDAC)8	HDAC8
(HDAC)9	HDAC9
HOXA 10	HOXA10
HOXA 11	HOXA11
HOXA 13	HOXA13
HOXA-10	HOXA10
HOXA-11	HOXA11
HOXA-13	HOXA13
(HOXA)1	HOXA1
(HOXA)2	HOXA2
(HOXA)3	HOXA3
(HOXA)4	HOXA4
(HOXA)5	HOXA5
(HOXA)6	HOXA6
(HOXA)7	HOXA7
(HOXA)9	HOXA9
PARP 10	PARP10
PARP 11	PARP11
PARP 12	PARP12
PARP 14	PARP14
PARP 15	PARP15
PARP 16	PARP16
PARP-10	PARP10
PARP-11	PARP11
PARP-12	PARP12
PARP-14	PARP14
PARP-15	PARP15
PARP-16	PARP16
(PARP)1	PARP1
(PARP)2	PARP2
(PARP)3	PARP3
(PARP)4	PARP4
(PARP)6	PARP6
(PARP)8	PARP8
(PARP)9	PARP9
ADAM 10	ADAM10
ADAM 11	ADAM11
ADAM 12	ADAM12
ADAM 15	ADAM15
ADAM 17	ADAM17
ADAM 18	ADAM18
ADAM 19	ADAM19
ADAM 20	ADAM20
ADAM 21	ADAM21
ADAM 22	ADAM22
ADAM 23	ADAM23
ADAM 28	ADAM28
ADAM 29	ADAM29
ADAM 30	ADAM30
ADAM 32	ADAM32
ADAM 33	ADAM33
ADAM-10	ADAM10
ADAM-11	ADAM11
ADAM-12	ADAM12
ADAM-15	ADAM15
ADAM-17	ADAM17
ADAM-18	ADAM18
ADAM-19	ADAM19
ADAM-20	ADAM20
ADAM-21	ADAM21
ADAM-22	ADAM22
ADAM-23	ADAM23
ADAM-28	ADAM28
ADAM-29	ADAM29
ADAM-30	ADAM30
ADAM-32	ADAM32
ADAM-33	ADAM33
(ADAM)2	ADAM2
(ADAM)5	ADAM5
(ADAM)6	ADAM6
(ADAM)7	ADAM7
(ADAM)8	ADAM8
(ADAM)9	ADAM9
(GATA)1	GATA1
(GATA)2	GATA2
(GATA)3	GATA3
(GATA)4	GATA4
(GATA)5	GATA5
(GATA)6	GATA6
(ICAM)1	ICAM1
(ICAM)2	ICAM2
(ICAM)3	ICAM3
(ICAM)4	ICAM4
(ICAM)5	ICAM5
(FGFR)1	FGFR1
(FGFR)2	FGFR2
(FGFR)3	FGFR3
(FGFR)4	FGFR4
(SUMO)1	SUMO1
(SUMO)2	SUMO2
(SUMO)3	SUMO3
(SUMO)4	SUMO4
(TIMP)1	TIMP1
(TIMP)2	TIMP2
(TIMP)3	TIMP3
(TIMP)4	TIMP4
(RUNX)1	RUNX1
(RUNX)2	RUNX2
(RUNX)3	RUNX3
(BRCA)1	BRCA1
(BRCA)2	BRCA2
(DNMT)1	DNMT1
(VCAM)1	VCAM1
plectin	PLEC
Plectin	PLEC
CGbeta	CGB
ERbeta	ESR2
IGF-II	IGF2
IGF-IR	IGF1R
MMP-10	MMP10
MMP-11	MMP11
MMP-26	MP26
TIMP-1	TIMP1
TIMP-2	TIMP2
TIMP-3	TIMP3
TIMP-4	TIMP4
TPbeta	TBXA2R
(IL)-1	IL1
(IL)-2	IL2
(IL)-3	IL3
(IL)-4	IL4
(IL)-5	IL5
(IL)-6	IL6
(IL)-7	IL7
(IL)-8	IL8
(IL)-9	IL9
(IL) 2	IL2
(IL) 3	IL3
(IL) 4	IL4
(IL) 5	IL5
(IL) 6	IL6
(IL) 7	IL7
(IL) 8	IL8
(IL) 9	IL9
(IL)10	IL10
(IL)11	IL11
(IL)13	IL13
(IL)15	IL15
(IL)16	IL16
(IL)18	IL18
(IL)19	IL19
(IL)20	IL20
(IL)21	IL21
(IL)22	IL22
(IL)24	IL24
(IL)25	IL25
(IL)26	IL26
(IL)27	IL27
(IL)31	IL31
(IL)32	IL32
(IL)33	IL33
(IL)34	IL34
(IL)37	IL37
(NF)-1	NF1
(NF)-2	NF2
(NF) 1	NF1
(NF) 2	NF2
MMP 10	MMP10
MMP 11	MMP11
MMP 12	MMP12
MMP 13	MMP13
MMP 14	MMP14
MMP 15	MMP15
MMP 16	MMP16
MMP 17	MMP17
MMP 19	MMP19
MMP 20	MMP20
MMP 21	MMP21
MMP 24	MMP24
MMP 25	MMP25
MMP 26	MMP26
MMP 27	MMP27
MMP 28	MMP28
MMP-12	MMP12
MMP-13	MMP13
MMP-14	MMP14
MMP-15	MMP15
MMP-16	MMP16
MMP-17	MMP17
MMP-19	MMP19
MMP-20	MMP20
MMP-21	MMP21
MMP-24	MMP24
MMP-25	MMP25
MMP-27	MMP27
MMP-28	MMP28
(MMP)1	MMP1
(MMP)2	MMP2
(MMP)3	MMP3
(MMP)7	MMP7
(MMP)8	MMP8
(MMP)9	MMP9
CDK 10	CDK10
CDK 12	CDK12
CDK 13	CDK13
CDK 14	CDK14
CDK 15	CDK15
CDK 16	CDK16
CDK 17	CDK17
CDK 18	CDK18
CDK 19	CDK19
CDK 20	CDK20
CDK-10	CDK10
CDK-12	CDK12
CDK-13	CDK13
CDK-14	CDK14
CDK-15	CDK15
CDK-16	CDK16
CDK-17	CDK17
CDK-18	CDK18
CDK-19	CDK19
