#CHR	START	END	ENTREZ	HUGO	Description
1	2976180	2980350	440556	FLJ42875	uncharacterized_LOC440556_transcript_variant_1_non-coding_RNA
1	2985741	3355185	63976	PRDM16	PR_domain_containing_16_transcript_variant_2_mRNA
1	3044538	3044599	100422968	MIR4251	microRNA_4251_microRNA
1	3388170	3391021	27237	ARHGEF16	Rho_guanine_nucleotide_exchange_factor_(GEF)_16_mRNA
1	3404505	3448012	1953	MEGF6	multiple_EGF-like-domains_6_mRNA
1	3477259	3477354	693135	MIR551A	microRNA_551a_microRNA
1	3541555	3546694	127262	TPRG1L	tumor_protein_p63_regulated_1-like_mRNA
1	3547330	3566671	49856	WRAP73	WD_repeat_containing_antisense_to_TP73_mRNA
1	3614609	3625098	7161	TP73	tumor_protein_p73_transcript_variant_13_mRNA
1	3652547	3663335	57212	TP73-AS1	TP73_antisense_RNA_1_transcript_variant_5_non-coding_RNA
1	3668964	3688209	148870	CCDC27	coiled-coil_domain_containing_27_mRNA
1	3689333	3692546	388588	SMIM1	small_integral_membrane_protein_1_mRNA
1	3696783	3713068	57470	LRRC47	leucine_rich_repeat_containing_47_mRNA
1	3732843	3753716	9731	CEP104	centrosomal_protein_104kDa_mRNA
1	3773844	3782564	1677	DFFB	DNA_fragmentation_factor_40kDa_beta_polypeptide_(caspase-activated_DNase)_mRNA
1	3805696	3816857	339448	C1orf174	chromosome_1_open_reading_frame_174_mRNA
1	3816967	3832011	100133612	LOC100133612	uncharacterized_non-coding_RNA
1	4000671	4012643	728716	LOC728716	uncharacterized_non-coding_RNA
1	4472110	4484744	284661	LOC284661	uncharacterized_non-coding_RNA
1	4715104	4837854	55966	AJAP1	adherens_junctions_associated_protein_1_transcript_variant_2_mRNA
1	5624130	5624203	100616489	MIR4417	microRNA_4417_microRNA
1	5922731	5922801	100616421	MIR4689	microRNA_4689_microRNA
1	5922870	5928435	261734	NPHP4	nephronophthisis_4_mRNA
1	6086072	6158621	8514	KCNAB2	potassium_voltage-gated_channel_shaker-related_subfamily_beta_member_2_transcript_variant_1_mRNA
1	6161846	6191808	26038	CHD5	chromodomain_helicase_DNA_binding_protein_5_mRNA
1	6245079	6259679	6146	RPL22	ribosomal_protein_L22_mRNA
1	6266188	6268366	388591	RNF207	ring_finger_protein_207_mRNA
1	6281252	6296044	23463	ICMT	isoprenylcysteine_carboxyl_methyltransferase_mRNA
1	6304251	6305638	390992	HES3	hairy_and_enhancer_of_split_3_(Drosophila)_mRNA
1	6307405	6321035	387509	GPR153	G_protein-coupled_receptor_153_mRNA
1	6324331	6419004	11332	ACOT7	acyl-CoA_thioesterase_7_transcript_variant_hBACHd_mRNA
1	6475293	6479979	54626	HES2	hairy_and_enhancer_of_split_2_(Drosophila)_mRNA
1	6484847	6521004	83715	ESPN	espin_mRNA
1	6489893	6489956	100422975	MIR4252	microRNA_4252_microRNA
1	6521213	6523682	8718	TNFRSF25	tumor_necrosis_factor_receptor_superfamily_member_25_transcript_variant_1_mRNA
1	6526151	6531643	57449	PLEKHG5	pleckstrin_homology_domain_containing_family_G_(with_RhoGef_domain)_member_5_transcript_variant_1_mRNA
1	6581406	6614658	79707	NOL9	nucleolar_protein_9_mRNA
1	6615337	6639817	80835	TAS1R1	taste_receptor_type_1_member_1_transcript_variant_2_mRNA
1	6640055	6649340	3104	ZBTB48	zinc_finger_and_BTB_domain_containing_48_mRNA
1	6650783	6659871	9903	KLHL21	kelch-like_family_member_21_mRNA
1	6673755	6684093	148479	PHF13	PHD_finger_protein_13_mRNA
1	6684924	6693642	90326	THAP3	THAP_domain_containing_apoptosis_associated_protein_3_transcript_variant_3_mRNA
1	6694227	6761966	55735	DNAJC11	DnaJ_(Hsp40)_homolog_subfamily_C_member_11_mRNA
1	6845383	6932107	23261	CAMTA1	calmodulin_binding_transcription_activator_1_transcript_variant_2_mRNA
1	7831328	7841492	9341	VAMP3	vesicle-associated_membrane_protein_3_mRNA
1	7844379	7864018	8863	PER3	period_circadian_clock_3_mRNA
1	7907671	7913178	10911	UTS2	urotensin_2_transcript_variant_2_mRNA
1	7975930	8003225	3604	TNFRSF9	tumor_necrosis_factor_receptor_superfamily_member_9_mRNA
1	8021713	8045342	11315	PARK7	parkinson_protein_7_transcript_variant_2_mRNA
1	8073486	8075752	54206	ERRFI1	ERBB_receptor_feedback_inhibitor_1_mRNA
1	8384389	8404227	50651	SLC45A1	solute_carrier_family_45_member_1_mRNA
1	8412463	8483747	473	RERE	arginine-glutamic_acid_dipeptide_(RE)_repeats_transcript_variant_3_mRNA
1	8921058	8931635	2023	ENO1	enolase_1_(alpha)_transcript_variant_2_mRNA
1	8938893	8939943	100505975	ENO1-AS1	ENO1_antisense_RNA_1_non-coding_RNA
1	9005892	9012710	765	CA6	carbonic_anhydrase_VI_transcript_variant_2_mRNA
1	9063358	9086404	155184	SLC2A7	solute_carrier_family_2_(facilitated_glucose_transporter)_member_7_mRNA
1	9097004	9109319	6518	SLC2A5	solute_carrier_family_2_(facilitated_glucose/fructose_transporter)_member_5_transcript_variant_1_mRNA
1	9164475	9189229	80045	GPR157	G_protein-coupled_receptor_157_mRNA
1	9211726	9211836	407040	MIR34A	microRNA_34a_microRNA
1	9294862	9331394	9563	H6PD	hexose-6-phosphate_dehydrogenase_(glucose_1-dehydrogenase)_mRNA
1	9352940	9429590	80176	SPSB1	splA/ryanodine_receptor_domain_and_SOCS_box_containing_1_mRNA
1	9599527	9642831	84275	SLC25A33	solute_carrier_family_25_(pyrimidine_nucleotide_carrier)_member_33_nuclear_gene_encoding_mitochondrial_protein_mRNA
1	9648931	9665020	199953	TMEM201	transmembrane_protein_201_transcript_variant_2_mRNA
1	9711789	9775827	5293	PIK3CD	phosphatidylinositol-4_5-bisphosphate_3-kinase_catalytic_subunit_delta_mRNA
1	9712667	9714644	644997	C1orf200	chromosome_1_open_reading_frame_200_non-coding_RNA
1	9789078	9793604	22883	CLSTN1	calsyntenin_1_transcript_variant_2_mRNA
1	9908333	9970316	56998	CTNNBIP1	catenin_beta_interacting_protein_1_transcript_variant_1_mRNA
1	9989775	10002840	84328	LZIC	leucine_zipper_and_CTNNBIP1_domain_containing_mRNA
1	10003485	10045556	64802	NMNAT1	nicotinamide_nucleotide_adenylyltransferase_1_mRNA
1	10057254	10076078	116362	RBP7	retinol_binding_protein_7_cellular_mRNA
1	10093040	10241296	10277	UBE4B	ubiquitination_factor_E4B_transcript_variant_1_mRNA
1	10270763	10334469	23095	KIF1B	kinesin_family_member_1B_transcript_variant_2_mRNA
1	10459084	10480201	5226	PGD	phosphogluconate_dehydrogenase_mRNA
1	10490158	10512060	100526739	APITD1-CORT	_readthrough_transcript_variant_5_mRNA
1	10490158	10502872	378708	APITD1	apoptosis-inducing_TAF9-like_domain_1_transcript_variant_A_mRNA
1	10509775	10512060	1325	CORT	cortistatin_mRNA
1	10520602	10532613	1676	DFFA	DNA_fragmentation_factor_45kDa_alpha_polypeptide_transcript_variant_1_mRNA
1	10535002	10580067	5195	PEX14	peroxisomal_biogenesis_factor_14_mRNA
1	10718063	10721455	54897	CASZ1	castor_zinc_finger_1_transcript_variant_2_mRNA
1	11006529	11024328	148345	C1orf127	chromosome_1_open_reading_frame_127_mRNA
1	11072678	11085549	23435	TARDBP	TAR_DNA_binding_protein_mRNA
1	11086579	11107296	10747	MASP2	mannan-binding_lectin_serine_peptidase_2_transcript_variant_1_mRNA
1	11114648	11120091	6723	SRM	spermidine_synthase_mRNA
1	11126675	11159938	5394	EXOSC10	exosome_component_10_transcript_variant_1_mRNA
1	11166587	11191615	2475	MTOR	mechanistic_target_of_rapamycin_(serine/threonine_kinase)_mRNA
1	11203954	11209595	100873935	MTOR-AS1	MTOR_antisense_RNA_1_non-coding_RNA
1	11249345	11256038	10218	ANGPTL7	angiopoietin-like_7_mRNA
1	11333254	11348491	29914	UBIAD1	UbiA_prenyltransferase_domain_containing_1_mRNA
1	11539294	11541938	57540	PTCHD2	patched_domain_containing_2_mRNA
1	11709143	11714401	26232	FBXO2	F-box_protein_2_mRNA
1	11714913	11718713	93611	FBXO44	F-box_protein_44_transcript_variant_1_mRNA
1	11724149	11734409	26270	FBXO6	F-box_protein_6_mRNA
1	11734536	11741495	10459	MAD2L2	MAD2_mitotic_arrest_deficient-like_2_(yeast)_transcript_variant_2_mRNA
1	11751780	11780336	374946	DRAXIN	dorsal_inhibitory_axon_guidance_protein_mRNA
1	11796141	11810828	57085	AGTRAP	angiotensin_II_receptor-associated_protein_transcript_variant_4_mRNA
1	11845786	11856547	4524	MTHFR	methylenetetrahydrofolate_reductase_(NAD(P)H)_mRNA
1	11866152	11876844	1185	CLCN6	chloride_channel_voltage-sensitive_6_transcript_variant_3_non-coding_RNA
1	11900375	11907674	100379251	NPPA-AS1	NPPA_antisense_RNA_1_antisense_RNA
1	11905766	11907840	4878	NPPA	natriuretic_peptide_A_mRNA
1	11917520	11918992	4879	NPPB	natriuretic_peptide_B_mRNA
1	11979644	11986485	90231	KIAA2013	_mRNA
1	11994723	12035599	5351	PLOD1	procollagen-lysine_2-oxoglutarate_5-dioxygenase_1_mRNA
1	12040237	12073572	9927	MFN2	mitofusin_2_nuclear_gene_encoding_mitochondrial_protein_transcript_variant_1_mRNA
1	12079298	12092106	60672	MIIP	migration_and_invasion_inhibitory_protein_mRNA
1	12123433	12204264	943	TNFRSF8	tumor_necrosis_factor_receptor_superfamily_member_8_transcript_variant_1_mRNA
1	12227059	12269277	7133	TNFRSF1B	tumor_necrosis_factor_receptor_superfamily_member_1B_mRNA
1	12251761	12251839	100616438	MIR4632	microRNA_4632_microRNA
1	12371510	12398045	55187	VPS13D	vacuolar_protein_sorting_13_homolog_D_(S._cerevisiae)_transcript_variant_2_mRNA
1	12567299	12567451	677882	SNORA59B	small_nucleolar_RNA_H/ACA_box_59B_small_nucleolar_RNA
1	12640550	12656106	9249	DHRS3	dehydrogenase/reductase_(SDR_family)_member_3_mRNA
1	12704565	12727097	343066	AADACL4	arylacetamide_deacetylase-like_4_mRNA
1	12776117	12788726	126767	AADACL3	arylacetamide_deacetylase-like_3_transcript_variant_1_mRNA
1	12806162	12819698	93190	C1orf158	chromosome_1_open_reading_frame_158_mRNA
1	12834983	12838048	390999	PRAMEF12	PRAME_family_member_12_mRNA
1	12851545	12856777	65121	PRAMEF1	PRAME_family_member_1_mRNA
1	12884467	12891264	440560	PRAMEF11	PRAME_family_member_11_mRNA
1	12907235	12908237	649330	LOC649330	heterogeneous_nuclear_ribonucleoprotein_C-like_mRNA
1	12907260	12908578	343069	HNRNPCL1	heterogeneous_nuclear_ribonucleoprotein_C-like_1_mRNA
1	12916940	12921764	65122	PRAMEF2	PRAME_family_member_2_mRNA
1	12939032	12946025	400735	PRAMEF4	PRAME_family_member_4_mRNA
1	12952726	12958094	343071	PRAMEF10	PRAME_family_member_10_mRNA
1	12976449	12980568	391002	PRAMEF8	PRAME_family_member_8_mRNA
1	12977512	13610487	441871	PRAMEF7	PRAME_family_member_7
1	12998301	13117751	343068	PRAMEF5	PRAME_family_member_5_mRNA
1	12998301	13007406	440561	PRAMEF6	PRAME_family_member_6_mRNA
1	13035542	13038381	653606	PRAMEF22	PRAME_family_member_22_mRNA
1	13182959	13184326	440563	LOC440563	heterogeneous_nuclear_ribonucleoprotein_C-like_mRNA
1	13328195	13331692	401940	PRAMEF3	PRAME_family_member_3_mRNA
1	13421175	13428191	343070	PRAMEF9	PRAME_family_member_9_mRNA
1	13421175	13648987	653619	PRAMEF15	PRAME_family_member_15
1	13447413	13452656	400736	PRAMEF13	PRAME_family_member_13_mRNA
1	13447413	13673511	729528	PRAMEF14	PRAME_family_member_14
1	13474052	13698405	391003	PRAMEF18	PRAME_family_member_18
1	13474052	13477569	645414	PRAMEF19	PRAME_family_member_19_mRNA
1	13495253	13498259	654348	PRAMEF16	PRAME_family_member_16_mRNA
1	13516065	13526943	645425	PRAMEF20	PRAME_family_member_20_mRNA
1	13521962	13747803	391001	PRAMEF21	PRAME_family_member_21
1	13716087	13719064	391004	PRAMEF17	PRAME_family_member_17_mRNA
1	13801444	13840242	126755	LRRC38	leucine_rich_repeat_containing_38_mRNA
1	13910251	13944452	10630	PDPN	podoplanin_transcript_variant_2_mRNA
1	14075855	14107358	7799	PRDM2	PR_domain_containing_2_with_ZNF_domain_transcript_variant_2_mRNA
1	14925212	15394651	23254	KAZN	kazrin_periplakin_interacting_protein_transcript_variant_A_mRNA
1	15438310	15478960	200197	TMEM51-AS1	TMEM51_antisense_RNA_1_non-coding_RNA
1	15480228	15546874	55092	TMEM51	transmembrane_protein_51_transcript_variant_3_mRNA
1	15573767	15672019	114827	FHAD1	forkhead-associated_(FHA)_phosphopeptide_binding_domain_1_mRNA
1	15736390	15756839	79180	EFHD2	EF-hand_domain_family_member_D2_mRNA
1	15764937	15773153	11330	CTRC	chymotrypsin_C_(caldecrin)_mRNA
1	15783222	15798586	63036	CELA2A	chymotrypsin-like_elastase_family_member_2A_mRNA
1	15802595	15817895	51032	CELA2B	chymotrypsin-like_elastase_family_member_2B_mRNA
1	15817323	15850940	842	CASP9	caspase_9_apoptosis-related_cysteine_peptidase_transcript_variant_alpha_mRNA
1	15853351	15893091	23341	DNAJC16	DnaJ_(Hsp40)_homolog_subfamily_C_member_16_mRNA
1	15898193	15911605	79814	AGMAT	agmatine_ureohydrolase_(agmatinase)_mRNA
1	15943952	15960796	84301	DDI2	DNA-damage_inducible_1_homolog_2_(S._cerevisiae)_mRNA
1	15986363	15988217	6248	RSC1A1	regulatory_solute_carrier_protein_family_1_member_1_mRNA
1	16010826	16061264	23207	PLEKHM2	pleckstrin_homology_domain_containing_family_M_(with_RUN_domain)_member_2_mRNA
1	16062808	16067884	284723	SLC25A34	solute_carrier_family_25_member_34_mRNA
1	16068986	16074292	388595	TMEM82	transmembrane_protein_82_mRNA
1	16090990	16101715	54751	FBLIM1	filamin_binding_LIM_protein_1_transcript_variant_2_mRNA
1	16133656	16134194	440567	UQCRHL	ubiquinol-cytochrome_c_reductase_hinge_protein-like_mRNA
1	16160709	16174642	729614	FLJ37453	uncharacterized_LOC729614_non-coding_RNA
1	16174358	16266950	23013	SPEN	spen_homolog_transcriptional_regulator_(Drosophila)_mRNA
1	16268363	16302627	7709	ZBTB17	zinc_finger_and_BTB_domain_containing_17_transcript_variant_2_mRNA
1	16330730	16333184	149563	C1orf64	chromosome_1_open_reading_frame_64_mRNA
1	16340522	16345285	27129	HSPB7	heat_shock_27kDa_protein_family_member_7_(cardiovascular)_mRNA
1	16355006	16357169	1187	CLCNKA	chloride_channel_voltage-sensitive_Ka_transcript_variant_3_mRNA
1	16355620	16380267	1188	CLCNKB	chloride_channel_voltage-sensitive_Kb_transcript_variant_2_mRNA
1	16384263	16400127	348487	FAM131C	family_with_sequence_similarity_131_member_C_mRNA
1	16450831	16482582	1969	EPHA2	EPH_receptor_A2_mRNA
1	16524598	16533705	128272	ARHGEF19	Rho_guanine_nucleotide_exchange_factor_(GEF)_19_mRNA
1	16558181	16563659	79363	RSG1	REM2_and_RAB-like_small_GTPase_1_mRNA
1	16618819	16641930	54455	FBXO42	F-box_protein_42_mRNA
1	16693524	16722607	26099	SZRD1	SUZ_RNA_binding_domain_containing_1_transcript_variant_4_non-coding_RNA
1	16722175	16763919	374955	SPATA21	spermatogenesis_associated_21_mRNA
1	16767166	16786584	55707	NECAP2	NECAP_endocytosis_associated_2_transcript_variant_1_mRNA
1	16804749	16817579	114819	CROCCP3	ciliary_rootlet_coiled-coil_rootletin_pseudogene_3_non-coding_RNA
1	16875408	16875482	100500876	MIR3675	microRNA_3675_microRNA
1	16892902	16913756	55672	NBPF1	neuroblastoma_breakpoint_family_member_1_mRNA
1	16944750	16952994	84809	CROCCP2	ciliary_rootlet_coiled-coil_rootletin_pseudogene_2_non-coding_RNA
1	16972068	16974587	11209	MST1P2	macrophage_stimulating_1_(hepatocyte_growth_factor-like)_pseudogene_2_non-coding_RNA
1	17017712	17046652	284729	ESPNP	espin_pseudogene_non-coding_RNA
1	17066767	17267729	9696	CROCC	ciliary_rootlet_coiled-coil_rootletin_mRNA
1	17081128	17086552	11223	MST1L	macrophage_stimulating_1-like_mRNA
1	17300998	17307173	4237	MFAP2	microfibrillar-associated_protein_2_transcript_variant_2_mRNA
1	17321981	17326807	23400	ATP13A2	ATPase_type_13A2_transcript_variant_3_mRNA
1	17345224	17380665	6390	SDHB	succinate_dehydrogenase_complex_subunit_B_iron_sulfur_(Ip)_nuclear_gene_encoding_mitochondrial_protein_mRNA
1	17393255	17445948	11240	PADI2	peptidyl_arginine_deiminase_type_II_mRNA
1	17531620	17572501	29943	PADI1	peptidyl_arginine_deiminase_type_I_mRNA
1	17575592	17610727	51702	PADI3	peptidyl_arginine_deiminase_type_III_mRNA
1	17634689	17674911	23569	PADI4	peptidyl_arginine_deiminase_type_IV_mRNA
1	17698740	17728195	353238	PADI6	peptidyl_arginine_deiminase_type_VI_mRNA
1	17733250	17765059	55920	RCC2	regulator_of_chromosome_condensation_2_transcript_variant_2_mRNA
1	17846826	17909697	55160	ARHGEF10L	Rho_guanine_nucleotide_exchange_factor_(GEF)_10-like_transcript_variant_1_mRNA
1	18081807	18153558	81569	ACTL8	actin-like_8_mRNA
1	18434239	18704977	84966	IGSF21	immunoglobin_superfamily_member_21_mRNA
1	18807423	18812480	127707	KLHDC7A	kelch_domain_containing_7A_mRNA
1	18957499	19062632	5081	PAX7	paired_box_7_transcript_variant_1_mRNA
1	19166092	19186155	80834	TAS1R2	taste_receptor_type_1_member_2_mRNA
1	19197923	19217385	8659	ALDH4A1	aldehyde_dehydrogenase_4_family_member_A1_transcript_variant_3_mRNA
1	19209695	19209769	100616120	MIR4695	microRNA_4695_microRNA
1	19230773	19282826	126917	IFFO2	intermediate_filament_family_orphan_2_mRNA
1	19400999	19408140	23352	UBR4	ubiquitin_protein_ligase_E3_component_n-recognin_4_mRNA
1	19542157	19548410	23065	EMC1	ER_membrane_protein_complex_subunit_1_transcript_variant_4_mRNA
1	19578074	19586622	51154	MRTO4	mRNA_turnover_4_homolog_(S._cerevisiae)_mRNA
1	19592475	19600568	246181	AKR7L	aldo-keto_reductase_family_7-like_transcript_variant_1_non-coding_RNA
1	19609056	19615280	22977	AKR7A3	aldo-keto_reductase_family_7_member_A3_(aflatoxin_aldehyde_reductase)_mRNA
1	19619740	19622230	100506730	LOC100506730	uncharacterized_non-coding_RNA
1	19629201	19638640	8574	AKR7A2	aldo-keto_reductase_family_7_member_A2_(aflatoxin_aldehyde_reductase)_mRNA
1	19638739	19655794	54896	PQLC2	PQ_loop_repeat_containing_2_transcript_variant_2_mRNA
1	19665266	19811201	832	CAPZB	capping_protein_(actin_filament)_muscle_Z-line_beta_transcript_variant_4_non-coding_RNA
1	19923470	19984949	100532736	MINOS1-NBL1	_readthrough_transcript_variant_1_mRNA
1	19923470	19956315	440574	MINOS1	mitochondrial_inner_membrane_organizing_system_1_nuclear_gene_encoding_mitochondrial_protein_transcript_variant_5_mRNA
1	19934300	19935138	644068	RPS14P3	ribosomal_protein_S14_pseudogene_3_non-coding_RNA
1	19969722	19984949	4681	NBL1	neuroblastoma_1_DAN_family_BMP_antagonist_transcript_variant_1_mRNA
1	19991779	20006055	3362	HTR6	5-hydroxytryptamine_(serotonin)_receptor_6_G_protein-coupled_mRNA
1	20008734	20125837	255104	TMCO4	transmembrane_and_coiled-coil_domains_4_mRNA
1	20140521	20141771	54546	RNF186	ring_finger_protein_186_mRNA
1	20208887	20239437	23252	OTUD3	OTU_domain_containing_3_mRNA
1	20246799	20250110	30814	PLA2G2E	phospholipase_A2_group_IIE_mRNA
